,New DB,,,,,,Old DB,,,,todo
5,LutProjectTag,Description,nvarchar,NO,100,,direct,kupat1.Tags,Name,,
5,LutProjectTag,IsSystemValue,bit,NO,,,const,,,0,
5,ProjectTag,Id,int,NO,,,auto,,,,
5,ProjectTag,ProjectId,int,NO,,,FK,NewDB.Project,Id,the created record id ,
5,ProjectTag,TagId,int,NO,,,direct,kupat1.ProductTag,TagId,,
5,ProjectTag,RecordStatus,int,NO,,,const,,,2(Accept),
5,ProjectTag,StatusChangedAt,datetime,NO,,,const,,,GETDATE(),
5,ProjectTag,StatusChangedBy,int,NO,,,const,,,-1,
5,ProjectTag,CreatedAt,datetime,NO,,,const,,,GETDATE(),
5,ProjectTag,CreatedBy,int,NO,,,const,,,-1,
5,ProjectTag,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
5,ProjectTag,UpdatedBy,int,NO,,,const,,,-1,
,LutGlobalConfigParam,Id,int,NO,,,,,,,
,LutGlobalConfigParam,Description,nvarchar,NO,100,,,,,,
,LutGlobalConfigParam,IsSystemValue,bit,NO,,,,,,,
,GlobalConfig,Id,int,NO,,,,,,,
,GlobalConfig,ConfigParam,int,NO,,,,,,,
,GlobalConfig,Language,int,NO,,,,,,,
,GlobalConfig,Value,nvarchar,NO,1000,,,,,,
,GlobalConfig,CreatedAt,datetime,NO,,,,,,,
,GlobalConfig,CreatedBy,int,NO,,,,,,,
,GlobalConfig,UpdatedAt,datetime,NO,,,,,,,
,GlobalConfig,UpdatedBy,int,NO,,,,,,,
,LutLinkType,Id,int,NO,,,,,,,
,LutLinkType,Description,nvarchar,NO,100,,,,,,
,LutLinkType,IsSystemValue,bit,NO,,,,,,,
,LutLinkTargetType,Id,int,NO,,,,,,,
,LutLinkTargetType,Description,nvarchar,NO,100,,,,,,
,LutLinkTargetType,IsSystemValue,bit,NO,,,,,,,
3,Sourches,,,,,,,,,,
3,Affiliate,Id,int,NO,,,direct,ParentSources,Id,,
3,Affiliate,Name,nvarchar,NO,100,,direct,ParentSources,Name,,
3,Affiliate,UserName,nvarchar,NO,50,,direct,ParentSources,UserName,,
3,Affiliate,Password,nvarchar,NO,500,,direct,ParentSources,Password,,encrypy passsword
3,Affiliate,DefaultSourceId,int,YES,,,expression,,,"After create sources records, update this field with Sources.SourceId where SourceCode = Kupat1.Code of this parentSource Record",
3,Affiliate,RecordStatus,int,NO,,,const,,,2(Accept),
3,Affiliate,StatusChangedAt,datetime,NO,,,const,,,GETDATE(),
3,Affiliate,StatusChangedBy,int,NO,,,const,,,-1,
3,Affiliate,CreatedAt,datetime,NO,,,const,,,GETDATE(),
3,Affiliate,CreatedBy,int,NO,,,const,,,-1,
3,Affiliate,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
3,Affiliate,UpdatedBy,int,NO,,,const,,,-1,
3,Source,Id,int,NO,,,auto,,,create records for each record in Kupat1.UserSources where ParentSourcesId exists in ParentSources,
3,Source,AffiliateId,int,NO,,,direct,UserSources,ParentSourcesId,,
3,Source,SourceCode,nvarchar,NO,50,,direct,UserSources,Name,,
3,Source,Description,nvarchar,YES,100,,direct,UserSources,Title,"left(Title,100)",
3,Source,RecordStatus,int,NO,,,const,,,2(Accept),
3,Source,StatusChangedAt,datetime,NO,,,const,,,GETDATE(),
3,Source,StatusChangedBy,int,NO,,,const,,,-1,
3,Source,CreatedAt,datetime,NO,,,const,,,GETDATE(),
3,Source,CreatedBy,int,NO,,,const,,,-1,
3,Source,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
3,Source,UpdatedBy,int,NO,,,const,,,-1,
,LutProjectItemType,Id,int,NO,,,const,,,1,
,LutProjectItemType,Description,nvarchar,NO,100,,const,,,"""Charm""",
,LutProjectItemType,IsSystemValue,bit,NO,,,const,,,1,
,LutProjectItemType,Id,int,NO,,,const,,,2,
,LutProjectItemType,Description,nvarchar,NO,100,,const,,,"""Certificate""",
,LutProjectItemType,IsSystemValue,bit,NO,,,const,,,1,
,LutProjectItemType,Id,int,NO,,,const,,,3,
,LutProjectItemType,Description,nvarchar,NO,100,,const,,,"""PrayerName""",
,LutProjectItemType,IsSystemValue,bit,NO,,,const,,,1,
,LutProjectItemType,Id,int,NO,,,const,,,4,
,LutProjectItemType,Description,nvarchar,NO,100,,const,,,"""Donation""",
,LutProjectItemType,IsSystemValue,bit,NO,,,const,,,1,
,LutProjectItemType,Id,int,NO,,,const,,,5,
,LutProjectItemType,Description,nvarchar,NO,100,,const,,,"""FundDonation""",
,LutProjectItemType,IsSystemValue,bit,NO,,,const,,,1,
,LutProjectItemType,Id,int,NO,,,const,,,6,
,LutProjectItemType,Description,nvarchar,NO,100,,const,,,"""Hamol""",
,LutProjectItemType,IsSystemValue,bit,NO,,,const,,,1,
,LutProjectItemType,Id,int,NO,,,const,,,7,
,LutProjectItemType,Description,nvarchar,NO,100,,const,,,"""Lead""",
,LutProjectItemType,IsSystemValue,bit,NO,,,const,,,1,
,LutMailType,Id,int,NO,,,const,,,1,
,LutMailType,Description,nvarchar,NO,100,,const,,,"""NotCompletedDonation""",
,LutMailType,IsSystemValue,bit,NO,,,const,,,1,
,LutMailType,Id,int,NO,,,const,,,2,
,LutMailType,Description,nvarchar,NO,100,,const,,,"""ContactUs""",
,LutMailType,IsSystemValue,bit,NO,,,const,,,1,
,LutMailType,Id,int,NO,,,const,,,3,
,LutMailType,Description,nvarchar,NO,100,,const,,,"""ForgotPassword""",
,LutMailType,IsSystemValue,bit,NO,,,const,,,1,
,LutMailType,Id,int,NO,,,const,,,4,
,LutMailType,Description,nvarchar,NO,100,,const,,,"""DonationReceived""",
,LutMailType,IsSystemValue,bit,NO,,,const,,,1,
,LutPriceType,Id,int,NO,,,,,,,
,LutPriceType,Description,nvarchar,NO,100,,,,,,
,LutPriceType,IsSystemValue,bit,NO,,,,,,,
,MailTemplate,Id,int,NO,,,auto,,,"create records for bellow Name from Kupat1.MailTemplates is in('NotFinishedOrderNotification', 'ResetPassword', 'Contact', 'OrderComplete')",
,MailTemplate,Language,int,NO,,,const,,,1(Hebrew),
,MailTemplate,MailType,int,NO,,,const,,,"if Name = 'NotFinishedOrderNotification'-> 1(NotCompletedDonation), 'ResetPassword' -> 3(ForgotPassword), 'Contact'-> 2(ContactUs), 'OrderComplete' -> 4(DonationReceived)",
,MailTemplate,Subject,nvarchar,NO,500,,direct,Kupat1.MailTemplates,Subject,,
,MailTemplate,Content,nvarchar,NO,-1,,direct,Kupat1.MailTemplates,Content1,,
,MailTemplate,FromMail,nvarchar,YES,50,,direct,Kupat1.MailTemplates,FromMail,,
,MailTemplate,BccMail,nvarchar,YES,500,,direct,Kupat1.MailTemplates,BCCMails,,
,MailTemplate,FromName,nvarchar,YES,100,,direct,Kupat1.MailTemplates,FromName,,
,MailTemplate,CreatedAt,datetime,NO,,,const,,,GETDATE(),
,MailTemplate,CreatedBy,int,NO,,,const,,,-1,
,MailTemplate,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
,MailTemplate,UpdatedBy,int,NO,,,const,,,-1,
,MailTemplate,Id,int,NO,,,auto,,,"create records for bellow Name from Kupat1.MailTemplates is in('NotFinishedOrderNotification', 'ResetPassword', 'Contact', 'OrderComplete')",
,MailTemplate,Language,int,NO,,,const,,,2(English),
,MailTemplate,MailType,int,NO,,,const,,,"if Name = 'NotFinishedOrderNotification'-> 1(NotCompletedDonation), 'ResetPassword' -> 3(ForgotPassword), 'Contact'-> 2(ContactUs), 'OrderComplete' -> 4(DonationReceived)",
,MailTemplate,Subject,nvarchar,NO,500,,direct,Kupat1.MailTemplates,Subject_en,,
,MailTemplate,Content,nvarchar,NO,-1,,direct,Kupat1.MailTemplates,Content1_en,,
,MailTemplate,FromMail,nvarchar,YES,50,,direct,Kupat1.MailTemplates,FromMail_en,,
,MailTemplate,BccMail,nvarchar,YES,500,,direct,Kupat1.MailTemplates,BCCMails_en,,
,MailTemplate,FromName,nvarchar,YES,100,,direct,Kupat1.MailTemplates,FromName_en,,
,MailTemplate,CreatedAt,datetime,NO,,,const,,,GETDATE(),
,MailTemplate,CreatedBy,int,NO,,,const,,,-1,
,MailTemplate,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
,MailTemplate,UpdatedBy,int,NO,,,const,,,-1,
,MailTemplate,Id,int,NO,,,auto,,,"create records for bellow Name from Kupat1.MailTemplates is in('NotFinishedOrderNotification', 'ResetPassword', 'Contact', 'OrderComplete')",
,MailTemplate,Language,int,NO,,,const,,,3(Franch),
,MailTemplate,MailType,int,NO,,,const,,,"if Name = 'NotFinishedOrderNotification'-> 1(NotCompletedDonation), 'ResetPassword' -> 3(ForgotPassword), 'Contact'-> 2(ContactUs), 'OrderComplete' -> 4(DonationReceived)",
,MailTemplate,Subject,nvarchar,NO,500,,direct,Kupat1.MailTemplates,Subject_fr,,
,MailTemplate,Content,nvarchar,NO,-1,,direct,Kupat1.MailTemplates,Content1_fr,,
,MailTemplate,FromMail,nvarchar,YES,50,,direct,Kupat1.MailTemplates,FromMail_fr,,
,MailTemplate,BccMail,nvarchar,YES,500,,direct,Kupat1.MailTemplates,BCCMails_fr,,
,MailTemplate,FromName,nvarchar,YES,100,,direct,Kupat1.MailTemplates,FromName_fr,,
,MailTemplate,CreatedAt,datetime,NO,,,const,,,GETDATE(),
,MailTemplate,CreatedBy,int,NO,,,const,,,-1,
,MailTemplate,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
,MailTemplate,UpdatedBy,int,NO,,,const,,,-1,
,LutDeliveryMethod,Id,int,NO,,,,,,,
,LutDeliveryMethod,Description,nvarchar,NO,100,,,,,,
,LutDeliveryMethod,IsSystemValue,bit,NO,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,SupportData,Id,int,NO,,,no-mapping,,,,
,SupportData,Name,nvarchar,YES,200,,no-mapping,,,,
,SupportData,Value,int,YES,,,no-mapping,,,,
,SupportData,Icon,nvarchar,YES,-1,,no-mapping,,,,
,SupportData,CreatedAt,datetime,NO,,,no-mapping,,,,
,SupportData,CreatedBy,int,NO,,,no-mapping,,,,
,SupportData,UpdatedAt,datetime,NO,,,no-mapping,,,,
,SupportData,UpdatedBy,int,NO,,,no-mapping,,,,
,SupportDataLocalization,Id,int,NO,,,no-mapping,,,,
,SupportDataLocalization,Language,int,NO,,,no-mapping,,,,
,SupportDataLocalization,DisplayInSite,bit,NO,,,no-mapping,,,,
,SupportDataLocalization,Title,nvarchar,"""סלי מזון לחגים""",200,,no-mapping,,,,
,SupportDataLocalization,TextBeforeValue,nvarchar,YES,50,,no-mapping,,,,
,SupportDataLocalization,TextAfterValue,nvarchar,YES,50,,no-mapping,,,,
,SupportDataLocalization,BudgetType,int,YES,,,no-mapping,,,,
,SupportDataLocalization,BudgetValue,int,YES,,,no-mapping,,,,
,SupportDataLocalization,Order,int,NO,,,no-mapping,,,,
,SupportDataLocalization,CreatedAt,datetime,NO,,,no-mapping,,,,
,SupportDataLocalization,CreatedBy,int,NO,,,no-mapping,,,,
,SupportDataLocalization,UpdatedAt,datetime,NO,,,no-mapping,,,,
,SupportDataLocalization,UpdatedBy,int,NO,,,no-mapping,,,,
,,,,,,,,,,,
,LutPeriodType,Id,int,NO,,,const,,,1,
,LutPeriodType,Description,nvarchar,NO,100,,const,,,Monthly,
,LutPeriodType,IsSystemValue,bit,NO,,,const,,,1,
,LutPeriodType,Id,int,NO,,,const,,,2,
,LutPeriodType,Description,nvarchar,NO,100,,const,,,Yearly,
,LutPeriodType,IsSystemValue,bit,NO,,,const,,,1,
,LutPaymentType,Id,int,NO,,,const,,,1,
,LutPaymentType,Description,nvarchar,NO,100,,const,,,Fixed,
,LutPaymentType,IsSystemValue,bit,NO,,,const,,,1,
,LutPaymentType,Id,int,NO,,,const,,,2,
,LutPaymentType,Description,nvarchar,NO,100,,const,,,OneTime,
,LutPaymentType,IsSystemValue,bit,NO,,,const,,,1,
,,,,,,,,,,,
,LutRecordStatus,Id,int,NO,,,,,,,
,LutRecordStatus,Description,nvarchar,NO,100,,,,,,
,LutRecordStatus,IsSystemValue,bit,YES,,,,,,,
,,,,,,,,,,,
,LutCurrency,Id,int,NO,,,const,,,1,
,LutCurrency,Description,nvarchar,NO,20,,const,,,NIS',
,LutCurrency,CurrencyCode,nvarchar,NO,10,,const,,,ILS',
,LutCurrency,IsSystemValue,bit,YES,,,,,,,
,LutCurrency,Id,int,NO,,,const,,,2,
,LutCurrency,Description,nvarchar,NO,20,,const,,,Dollar',
,LutCurrency,CurrencyCode,nvarchar,NO,10,,const,,,USD',
,LutCurrency,IsSystemValue,bit,YES,,,,,,,
,LutCurrency,Id,int,NO,,,const,,,3,
,LutCurrency,Description,nvarchar,NO,20,,const,,,Euro',
,LutCurrency,CurrencyCode,nvarchar,NO,10,,const,,,EUR',
,LutCurrency,IsSystemValue,bit,YES,,,,,,,
,LutCurrency,Id,int,NO,,,const,,,4,
,LutCurrency,Description,nvarchar,NO,20,,const,,,Pound',
,LutCurrency,CurrencyCode,nvarchar,NO,10,,const,,,GPB',
,LutCurrency,IsSystemValue,bit,YES,,,,,,,
,,,,,,,,,,,
,LutLanguage,Id,int,NO,,,,,,,
,LutLanguage,Description,nvarchar,NO,100,,,,,,
,LutLanguage,DefaultCurrency,int,NO,,,,,,,
,LutLanguage,Domain,nvarchar,NO,100,,,,,,
,LutLanguage,IsSystemValue,bit,YES,,,,,,,
,Branch,Id,int,NO,,,direct,kupat1.Branches,BranchesId,,
,Branch,Name,nvarchar,NO,200,,direct,kupat1.Branches,Country,,
,Branch,CountryFlagIcon,nvarchar,YES,-1,,direct,kupat1.Branches,Pic,,
,Branch,CountryName,nvarchar,YES,100,,direct,kupat1.Branches,Country,,
,Branch,Title,nvarchar,YES,200,,direct,kupat1.Branches,Title,,
,Branch,Text,nvarchar,YES,300,,direct,kupat1.Branches,Address,,
,Branch,Phone,nvarchar,YES,30,,direct,kupat1.Branches,Phone,,
,Branch,CreatedAt,datetime,NO,,,const,,,GETDATE(),
,Branch,CreatedBy,int,NO,,,const,,,-1,
,Branch,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
,Branch,UpdatedBy,int,NO,,,const,,,-1,
,"Translations for Branch , field: Name",,,,,,,,,"take kupat1.Branches.Country_en for 'en' where Country_en is not null
take kupat1.Branches.Country_fr for 'fr' where Country_fr is not null
",
,"Translations for Branch , field: CountryName",,,,,,,,,"take kupat1.Branches.Country_en for 'en' where Country_en is not null
take kupat1.Branches.Country_fr for 'fr' where Country_fr is not null
",
,"Translations for Branch , field: Title",,,,,,,,,"take kupat1.Branches.Title_en for 'en' where Title_en is not null
take kupat1.Branches.Title_fr for 'fr' where Title_en is not null
",
,"Translations for Branch , field: Text",,,,,,,,,"take kupat1.Branches.Address_en for 'en' where Address_en is not null
take kupat1.Branches.Address_fr for 'fr' where Address_fr is not null
",
1,User,Id,int,NO,,,const,,,-1,
1,User,FirstName,nvarchar,NO,100,,const,System,,,
1,User,LastName,nvarchar,NO,300,,const,System,,,
1,User,Email,nvarchar,YES,100,,no-mapping,,,,
1,User,UserName,nvarchar,NO,20,,const,System,,,
1,User,Password,nvarchar,NO,200,,const,,,,
1,User,RoleId,int,YES,,,no-mapping,,,,
1,User,RecordStatus,int,NO,,,const,,,2(Accept),
1,User,StatusChangedAt,datetime,NO,,,const,,,GETDATE(),
1,User,StatusChangedBy,int,NO,,,const,,,-1,
1,User,CreatedAt,datetime,NO,,,const,,,GETDATE(),
1,User,CreatedBy,int,NO,,,const,,,-1,
1,User,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
1,User,UpdatedBy,int,NO,,,const,,,-1,
1,Admin User,,,,,,,,,,
1,User,Id,int,NO,,,const,,,1,
1,User,FirstName,nvarchar,NO,100,,const,מנהל,,,
1,User,LastName,nvarchar,NO,300,,const,מערכת,,,
1,User,Email,nvarchar,YES,100,,no-mapping,,,,
1,User,UserName,nvarchar,NO,20,,const,admin,,,
1,User,Password,nvarchar,NO,200,,const,,,1234,encrypy passsword
1,User,RoleId,int,YES,,,const,,,1,
1,User,RecordStatus,int,NO,,,const,,,2(Accept),
1,User,StatusChangedAt,datetime,NO,,,const,,,GETDATE(),
1,User,StatusChangedBy,int,NO,,,const,,,-1,
1,User,CreatedAt,datetime,NO,,,const,,,GETDATE(),
1,User,CreatedBy,int,NO,,,const,,,-1,
1,User,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
1,User,UpdatedBy,int,NO,,,const,,,-1,
1,Role,Id,int,NO,,,const,,,1,
1,Role,Description,nvarchar,NO,100,,const,,,מנהל מערכת,
1,Role,IsSystemValue,bit,YES,,,const,,,1,
1,Role,RecordStatus,int,NO,,,const,,,2(Accept),
1,Role,StatusChangedAt,datetime,NO,,,const,,,GETDATE(),
1,Role,StatusChangedBy,int,NO,,,const,,,-1,
1,Role,CreatedAt,datetime,NO,,,const,,,GETDATE(),
1,Role,CreatedBy,int,NO,,,const,,,-1,
1,Role,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
1,Role,UpdatedBy,int,NO,,,const,,,-1,
,LutLeadStatus,Id,int,NO,,,,,,,
,LutLeadStatus,Description,nvarchar,NO,100,,,,,,
,LutLeadStatus,IsSystemValue,bit,NO,,,,,,,
,Lead,Id,int,NO,,,,,,,
,Lead,ProjectId,int,NO,,,,,,,
,Lead,Status,int,NO,,,,,,,
,Lead,CustomerUserId,int,YES,,,,,,,
,Lead,FirstName,nvarchar,YES,100,,,,,,
,Lead,LastName,nvarchar,YES,300,,,,,,
,Lead,Email,nvarchar,YES,100,,,,,,
,Lead,Phone,nvarchar,YES,100,,,,,,
,Lead,SourceType,int,NO,,,,,,,
,Lead,SourceId,int,NO,,,,,,,
,Lead,UnknownSourceCode,nvarchar,YES,50,,,,,,
,Lead,SourceIP,nvarchar,YES,200,,,,,,
,Lead,Address,int,YES,,,,,,,
,Lead,CustomerComments,nvarchar,YES,-1,,,,,,
,Lead,CreatedAt,datetime,NO,,,,,,,
,Lead,CreatedBy,int,NO,,,,,,,
,Lead,UpdatedAt,datetime,NO,,,,,,,
,Lead,UpdatedBy,int,NO,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2,LutClearingMethodType,Id,int,NO,,,const,,,1,
2,LutClearingMethodType,Description,nvarchar,NO,100,,const,,,Online CreditCard,
2,LutClearingMethodType,IsSystemValue,bit,YES,,,const,,,1,
2,LutClearingMethodType,OnlineSupport,bit,YES,,,const,,,1,
2,LutClearingMethodType,Id,int,NO,,,const,,,2,
2,LutClearingMethodType,Description,nvarchar,NO,100,,const,,,Online Paypal,
2,LutClearingMethodType,IsSystemValue,bit,YES,,,const,,,1,
2,LutClearingMethodType,OnlineSupport,bit,YES,,,const,,,1,
2,LutClearingMethodType,Id,int,NO,,,const,,,3,
2,LutClearingMethodType,Description,nvarchar,NO,100,,const,,,Online Voucher,
2,LutClearingMethodType,IsSystemValue,bit,YES,,,const,,,1,
2,LutClearingMethodType,OnlineSupport,bit,YES,,,const,,,1,
2,LutClearingMethodType,Id,int,NO,,,const,,,4,
2,LutClearingMethodType,Description,nvarchar,NO,100,,const,,,Online Bit,
2,LutClearingMethodType,IsSystemValue,bit,YES,,,const,,,1,
2,LutClearingMethodType,OnlineSupport,bit,YES,,,const,,,1,
2,LutClearingMethodType,Id,int,NO,,,const,,,5,
2,LutClearingMethodType,Description,nvarchar,NO,100,,const,,,Offline,
2,LutClearingMethodType,IsSystemValue,bit,YES,,,const,,,1,
2,LutClearingMethodType,OnlineSupport,bit,YES,,,const,,,0,
2,LutClearingMethodType,Id,int,NO,,,const,,,6,
2,LutClearingMethodType,Description,nvarchar,NO,100,,const,,,Offline Phone Check,
2,LutClearingMethodType,IsSystemValue,bit,YES,,,const,,,1,
2,LutClearingMethodType,OnlineSupport,bit,YES,,,const,,,0,
2,LutClearingMethodType,Id,int,NO,,,const,,,7,
2,LutClearingMethodType,Description,nvarchar,NO,100,,const,,,Offline Phone Credit,
2,LutClearingMethodType,IsSystemValue,bit,YES,,,const,,,1,
2,LutClearingMethodType,OnlineSupport,bit,YES,,,const,,,0,
2,LutClearingMethodType,Id,int,NO,,,const,,,8,
2,LutClearingMethodType,Description,nvarchar,NO,100,,const,,,External App,
2,LutClearingMethodType,IsSystemValue,bit,YES,,,const,,,1,
2,LutClearingMethodType,OnlineSupport,bit,YES,,,const,,,0,
2,ClearingMethod,Id,int,NO,,,const,,,1,
2,ClearingMethod,Name,nvarchar,NO,100,,const,,,Stripe,
2,ClearingMethod,PaymentMethodType,int,NO,,,const,,,1(Online CreditCard),
2,ClearingMethod,MoreDetails,nvarchar,YES,-1,,no-mapping,,,,set individial moreDetails
2,ClearingMethod,RecordStatus,int,NO,,,const,,,2(Accept),
2,ClearingMethod,StatusChangedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethod,StatusChangedBy,int,NO,,,const,,,-1,
2,ClearingMethod,CreatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethod,CreatedBy,int,NO,,,const,,,-1,
2,ClearingMethod,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethod,UpdatedBy,int,NO,,,const,,,-1,
2,ClearingMethod,Id,int,NO,,,const,,,2,
2,ClearingMethod,Name,nvarchar,NO,100,,const,,,CardCom,
2,ClearingMethod,PaymentMethodType,int,NO,,,const,,,1(Online CreditCard),
2,ClearingMethod,MoreDetails,nvarchar,NO,-1,,no-mapping,,,,set individial moreDetails
2,ClearingMethod,RecordStatus,int,NO,,,const,,,2(Accept),
2,ClearingMethod,StatusChangedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethod,StatusChangedBy,int,NO,,,const,,,-1,
2,ClearingMethod,CreatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethod,CreatedBy,int,NO,,,const,,,-1,
2,ClearingMethod,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethod,UpdatedBy,int,NO,,,const,,,-1,
2,ClearingMethod,Id,int,NO,,,const,,,3,
2,ClearingMethod,Name,nvarchar,NO,100,,const,,,Authorize,
2,ClearingMethod,PaymentMethodType,int,NO,,,const,,,1(Online CreditCard),
2,ClearingMethod,MoreDetails,nvarchar,NO,-1,,no-mapping,,,,set individial moreDetails
2,ClearingMethod,RecordStatus,int,NO,,,const,,,2(Accept),
2,ClearingMethod,StatusChangedAt,datetime,NO,,,const,,,GETDATE(),
